,City,CLoundiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
176,Pampa,75,US,2021-04-16,75,35.5362,-100.9599,5.0,4.63
177,Nikolskoye,0,RU,2021-04-16,45,59.7035,30.7861,5.0,3.0
178,Sechura,98,PE,2021-04-16,70,-5.5569,-80.8222,22.38,5.01
179,Nelson Bay,90,AU,2021-04-16,100,-32.7167,152.15,15.56,3.6
180,Kiama,100,AU,2021-04-16,67,-34.6833,150.8667,19.44,0.45
181,Puerto Peñasco,17,MX,2021-04-16,77,31.3167,-113.5333,21.11,1.79
182,Longyearbyen,20,SJ,2021-04-16,62,78.2186,15.6401,-10.0,5.14
183,Meulaboh,100,ID,2021-04-16,73,4.1363,96.1285,27.09,0.57
184,Yeppoon,40,AU,2021-04-16,51,-23.1333,150.7333,29.0,4.12
185,Mae Sai,20,TH,2021-04-16,83,20.4335,99.8762,25.0,1.54
186,Nyurba,91,RU,2021-04-16,76,63.2842,118.3319,-5.13,6.46
187,Montrose,61,US,2021-04-16,41,38.4166,-108.2673,5.56,2.24
188,Ambilobe,16,MG,2021-04-16,95,-13.2,49.05,22.69,1.21
189,Mossamedes,11,AO,2021-04-16,65,-15.1961,12.1522,27.14,3.11
190,São Gabriel da Cachoeira,100,BR,2021-04-16,97,-0.1303,-67.0892,22.91,0.63
191,Nishihara,90,JP,2021-04-16,94,26.1842,127.7558,25.0,4.63
192,Manama,0,BH,2021-04-16,38,26.2154,50.5832,24.0,4.12
193,Arrondissement de Saint-Denis,0,FR,2021-04-16,81,48.9167,2.3333,6.11,4.63
194,Rawicz,100,PL,2021-04-16,98,51.6095,16.8585,5.0,3.16
195,Camacupa,89,AO,2021-04-16,85,-12.0167,17.4833,15.42,0.5
196,Kavieng,95,PG,2021-04-16,73,-2.5744,150.7967,27.51,1.91
197,Haimen,90,CN,2021-04-16,78,23.1935,116.6142,22.0,3.0
198,Leningradskaya,98,RU,2021-04-16,95,46.3214,39.3877,8.02,2.92
199,Palmer,75,US,2021-04-16,75,42.1584,-72.3287,4.0,6.17
200,Faya,0,SA,2021-04-16,27,18.3851,42.4509,16.0,2.61
201,Ahipara,2,NZ,2021-04-16,57,-35.1667,173.1667,18.29,6.91
202,Sorong,76,ID,2021-04-16,66,-0.8833,131.25,30.22,7.13
203,Kannur,14,IN,2021-04-16,74,11.8675,75.3576,28.81,1.97
204,Brejo,100,BR,2021-04-16,97,-3.6844,-42.7503,23.22,1.49
205,Ouadda,48,CF,2021-04-16,17,8.0777,22.4007,19.52,1.68
206,Shingū,75,JP,2021-04-16,94,33.7333,135.9833,16.0,2.57
207,San Patricio,90,US,2021-04-16,94,28.017,-97.5169,24.0,3.09
208,Rapid Valley,90,US,2021-04-16,93,44.0625,-103.1463,3.33,4.63
209,Saint-Joseph,0,RE,2021-04-16,83,-21.3667,55.6167,25.0,1.54
210,Dikson,98,RU,2021-04-16,94,73.5069,80.5464,-19.83,2.17
211,Namatanai,97,PG,2021-04-16,73,-3.6667,152.4333,28.08,2.51
212,Faanui,40,PF,2021-04-16,71,-16.4833,-151.75,27.98,2.49
213,Upernavik,83,GL,2021-04-16,99,72.7868,-56.1549,-23.83,3.35
214,Mercedes,62,AR,2021-04-16,72,-34.6515,-59.4307,17.78,2.29
215,Bratsk,75,RU,2021-04-16,86,56.1325,101.6142,0.0,4.0
216,Alice Springs,0,AU,2021-04-16,30,-23.7,133.8833,22.78,8.23
217,La Asuncion,86,VE,2021-04-16,80,11.0333,-63.8628,25.5,8.96
218,Anjozorobe,20,MG,2021-04-16,94,-18.4,47.8667,16.0,1.54
219,Sarangani,100,PH,2021-04-16,76,5.4033,125.4636,28.47,9.97
220,Anloga,20,GH,2021-04-16,78,5.7947,0.8973,28.0,1.54
221,Yulara,0,AU,2021-04-16,30,-25.2406,130.9889,21.0,7.2
222,Ouallam,3,NE,2021-04-16,6,14.3188,2.0866,28.11,2.79
223,Sitka,75,US,2021-04-16,76,57.0531,-135.33,9.0,0.45
224,Presidencia Roque Sáenz Peña,0,AR,2021-04-16,97,-26.7852,-60.4388,21.11,0.45
225,Skotterud,90,NO,2021-04-16,80,59.9828,12.1283,4.44,3.09
226,Tiznit Province,0,MA,2021-04-16,76,29.5833,-9.5,14.58,0.63
227,Tubualá,75,PA,2021-04-16,94,9.5167,-79.0333,25.0,2.06
228,Muisne,100,EC,2021-04-16,83,0.6,-80.0333,24.33,1.47
229,Chernyshevskiy,100,RU,2021-04-16,80,63.0128,112.4714,-10.84,7.08
230,Bitung,20,ID,2021-04-16,58,1.4451,125.1824,32.0,3.6
231,Vanimo,100,PG,2021-04-16,91,-2.6741,141.3028,24.54,2.03
232,Roald,0,NO,2021-04-16,69,62.5833,6.1333,2.78,3.6
233,Mosquera,40,CO,2021-04-16,72,4.7059,-74.2302,15.0,2.06
234,Labuhan,30,ID,2021-04-16,67,-6.8844,112.2051,29.42,1.65
235,Castro,100,BR,2021-04-16,93,-24.7911,-50.0119,15.37,1.22
236,Haskovo,90,BG,2021-04-16,87,41.9403,25.5694,7.0,2.57
237,Nadym,98,RU,2021-04-16,89,65.5333,72.5167,-12.96,7.5
238,Mount Isa,20,AU,2021-04-16,21,-20.7333,139.5,28.0,8.75
239,Norman Wells,75,CA,2021-04-16,49,65.282,-126.8329,8.0,3.6
240,Hvolsvollur,100,IS,2021-04-16,95,63.7533,-20.2243,2.22,4.47
241,Le Port,75,RE,2021-04-16,83,-20.9373,55.2919,25.0,2.57
242,Rawson,2,AR,2021-04-16,49,-43.3002,-65.1023,16.16,1.24
243,São José da Coroa Grande,67,BR,2021-04-16,86,-8.8978,-35.1478,24.75,2.65
244,Maragogi,80,BR,2021-04-16,87,-9.0122,-35.2225,24.57,2.35
245,Kerrville,90,US,2021-04-16,82,30.0474,-99.1403,15.0,6.17
246,Ossora,1,RU,2021-04-16,62,59.2353,163.0719,-0.17,4.53
247,Syamzha,0,RU,2021-04-16,86,60.0158,41.0614,0.44,1.94
248,Alugan,93,PH,2021-04-16,75,12.2188,125.4808,28.75,7.46
249,Maibong,2,IN,2021-04-16,36,25.3,93.1667,30.46,0.79
250,Odlābāri,43,IN,2021-04-16,34,26.8333,88.6167,31.23,1.64
251,Codrington,100,AU,2021-04-16,57,-38.2667,141.9667,17.19,5.36
252,Itoman,75,JP,2021-04-16,94,26.1247,127.6694,23.89,6.17
